"id_object","object_type","object_subtype","inventory_number","provenience_detail","provenance_detail","id_dating","pharaonic_ruler","id_provenience","place","archaeological_site","archaeological_context","id_location","place","country","lat","lon","current_or_former_provenances","tomb_owner_title_ids","tomb_owner_titles_unicode"
22,"stela","round-topped stela","2567",,"formerly Nizzoli collection (1824)",8,"Amenhotep III–Amenhotep IV/ Akhenaten",169,"Saqqara",,"Tomb of Ipy",,,,,,"Collection of Giuseppi di Nizzoli; Museo Egizio","1106; 1122; 1503; 363; 42; 575; 665","bꜣk n pr ḏ.t; ḥm nṯr tp.j n Ptḥ m pꜣ bꜥḥ; jm.j-rʾ pr n Mn-nfr; jm.j-rʾ pr wr n Jnb.w-ḥḏ.w; jm.j-rʾ pr wr n Mn-nfr; sẖꜣ.w nsw mꜣꜥ; sšm.w ḥꜣb n nb Mꜣꜥ.t"
702,"(tomb) equipment","canopics","AAL 4c",,"formerly Anastasi collection (1828)",8,"Amenhotep III–Amenhotep IV/ Akhenaten",169,"Saqqara",,"Tomb of Ipy",,,,,,"Collection of Giovanni Anastasi; Rijksmuseum van Oudheden","1106; 1122; 1503; 363; 42; 575; 665","bꜣk n pr ḏ.t; ḥm nṯr tp.j n Ptḥ m pꜣ bꜥḥ; jm.j-rʾ pr n Mn-nfr; jm.j-rʾ pr wr n Jnb.w-ḥḏ.w; jm.j-rʾ pr wr n Mn-nfr; sẖꜣ.w nsw mꜣꜥ; sšm.w ḥꜣb n nb Mꜣꜥ.t"
703,"(tomb) equipment","canopics","AAL 4d",,"formerly Anastasi collection (1828)",8,"Amenhotep III–Amenhotep IV/ Akhenaten",169,"Saqqara",,"Tomb of Ipy",,,,,,"Collection of Giovanni Anastasi; Rijksmuseum van Oudheden","1106; 1122; 1503; 363; 42; 575; 665","bꜣk n pr ḏ.t; ḥm nṯr tp.j n Ptḥ m pꜣ bꜥḥ; jm.j-rʾ pr n Mn-nfr; jm.j-rʾ pr wr n Jnb.w-ḥḏ.w; jm.j-rʾ pr wr n Mn-nfr; sẖꜣ.w nsw mꜣꜥ; sšm.w ḥꜣb n nb Mꜣꜥ.t"
704,"(tomb) equipment","shabti","C.2516",,"acquired before 1882/1888, formerly Bernadino Drovetti collection",8,"Amenhotep III–Amenhotep IV/ Akhenaten",169,"Saqqara",,"Tomb of Ipy",,,,,,"Collection of  Bernadino Drovetti; Museo Egizio","1106; 1122; 1503; 363; 42; 575; 665","bꜣk n pr ḏ.t; ḥm nṯr tp.j n Ptḥ m pꜣ bꜥḥ; jm.j-rʾ pr n Mn-nfr; jm.j-rʾ pr wr n Jnb.w-ḥḏ.w; jm.j-rʾ pr wr n Mn-nfr; sẖꜣ.w nsw mꜣꜥ; sšm.w ḥꜣb n nb Mꜣꜥ.t"
707,"other text documents","papyrus",,,,8,"Amenhotep III–Amenhotep IV/ Akhenaten",,,,,,,,,,,,
881,"small finds","jewellery & amulets",,"Discovered by the French Ministry of Foreign Affairs and Centre National de la Recherche Scientifique under the direction of A.-P. Zivie",,9,"Amenhotep III–Tutankhamun",52,"Saqqara","Falaise du Bubasteion","Tomb of Aperia",149,"Tomb of Aperia (352/Bub)","Egypt","N 29°52""23.01'","E 31°13""27.94'",,"10; 304; 391; 441; 461; 742; 900","bꜣk tp.j n Jtn; ẖrd n kꜣp; jm.j-rʾ nʾ.t; jm.j-rʾ ssm.wt; jt.j nṯr; mnꜥ.j n ms.w nsw; ṯꜣ.tj"
1243,"small finds","jewellery & amulets","1039",,"formerly Madame Maupas collection (1910)",9,"Amenhotep III–Tutankhamun",170,"Saqqara","Unas-Cemetery","Tomb of Serbna",178,"Unas-Cemetery","Egypt","N 29°51'59.80""","E 31°13'02.87""","Collection of Madame Maupas; Muséum Emmanuel Liais","22; 28; 35","ḥm nṯr n Bꜥr; ḥm nṯr tp.j (n) Jmn n psḏ.t m Prw-nfr; ḥm nṯr ꜥstr.t"
1240,"small finds","jewellery & amulets","ÄM 1785",,"formerly Carl Richard Lepius collection, war losses",9,"Amenhotep III–Tutankhamun",170,"Saqqara","Unas-Cemetery","Tomb of Serbna",178,"Unas-Cemetery","Egypt","N 29°51'59.80""","E 31°13'02.87""","Ägyptisches Museum und Papyrussammlung; Collection of Carl Richard Lepsius","22; 28; 35","ḥm nṯr n Bꜥr; ḥm nṯr tp.j (n) Jmn n psḏ.t m Prw-nfr; ḥm nṯr ꜥstr.t"
1241,"small finds","jewellery & amulets","ÄM 8665",,"formerly Carl Richard Lepius collection",9,"Amenhotep III–Tutankhamun",170,"Saqqara","Unas-Cemetery","Tomb of Serbna",178,"Unas-Cemetery","Egypt","N 29°51'59.80""","E 31°13'02.87""","Ägyptisches Museum und Papyrussammlung; Collection of Carl Richard Lepsius","22; 28; 35","ḥm nṯr n Bꜥr; ḥm nṯr tp.j (n) Jmn n psḏ.t m Prw-nfr; ḥm nṯr ꜥstr.t"
1872,"small finds","jewellery & amulets","E 2208",,"N 4568",9,"Amenhotep III–Tutankhamun",170,"Saqqara","Unas-Cemetery","Tomb of Serbna",178,"Unas-Cemetery","Egypt","N 29°51'59.80""","E 31°13'02.87""","Musée du Louvre","22; 28; 35","ḥm nṯr n Bꜥr; ḥm nṯr tp.j (n) Jmn n psḏ.t m Prw-nfr; ḥm nṯr ꜥstr.t"
